Bundler,Submission Latency (ms),On-Chain Latency (ms),Total Latency (ms),Tx Hash
biconomy,732,1337,2069,0xda4e21029bd124a78234a0cb4e46dd015ab9c1ca2962ce3183ed7e47e7d8d345
biconomy,967,1398,2365,0x8dba374d465504f4341b84201a11f45ecc5c0fa0a147e90b1cc1dc152f7409f5
biconomy,613,1868,2481,0x61392f8b3ccc760ddee27c4a761e2c60ab851708366cc20fe8050440b81b72ee
biconomy,537,2470,3007,0xc49131d85f97be07b3085aabecfc36bd5243c4caa11684b358493f49dcacb9cc
biconomy,664,2829,3493,0x456a9f3da924c943738749e1180a9e9120ec3708e26cdc1447f104d30537be56
biconomy,602,1290,1892,0x87f0aa232fcadda709e754c1095255f5df4ba1c1b3533cf89e57234daf93350f
biconomy,572,1512,2084,0x300784ddfa36c7d63110eb6950c010211628e971ec93d3142ff16bea2e470c8b
biconomy,530,2193,2723,0x5306238080dabc17b0201640914fb236332b3492f4eef6388cf97e8c0e2db110
biconomy,496,2538,3034,0x38f650e666e4e29810709d79c7d4534008c1b356a9b0b153fd93b43b1b17066d
biconomy,611,2775,3386,0x9219b40ab3655b90b12c0fbd641723720c25de617f0e05a113bf8e854f71fa1a
biconomy,552,1048,1600,0x746b5d75c0c10e3ce824841d6fa6b1bfea37ffd0a529ea530f7b13b9186c6079
biconomy,562,1577,2139,0x702da060f3ac86e52a15074d47da09170d7bee653bb9e691eaebc72e003c7d0d
biconomy,578,2061,2639,0x01486651f934d6558e1f9e10d2f6939254872200734d5ab2f5aa1e494e55b3c7
biconomy,498,2695,3193,0x9a4b62b7c7fe07a8f73c62de2dd7ac776c76786d0c432a7252d34eb4d3a17703
biconomy,633,1023,1656,0x97947f66126fbcf2928e23e537e3c8ed7818de0fc0b5a755f41eb58ec47bf175
biconomy,580,1619,2199,0x5c9b1166a4d2022a029a1746def253cd672f16ffb38e27ca4918204d9d418c5f
biconomy,660,1685,2345,0xac36b09e9bf5f778be7b3b32897830f6d890ae8c19e3cb33dbd0a96029ce146f
biconomy,542,1987,2529,0x3901511c9c4e8b8ba84ddab2eeaade5ebdcdf5d3763636ef2422492a567c55a7
biconomy,500,2508,3008,0x96df25d119c87f5ff91dc8be97df3ac62bd8031f5595ea37282c0b06db00964d
biconomy,572,1001,1573,0xd9406bab4cd663770e79d22e4974bd1b905250758f5a5bdaa6bb3b0c44c550d0
biconomy,495,1384,1879,0x6ad93ff07e321e3c97a2f2f9465b731fd42d766627d22ececb34aba96fcede33
biconomy,593,1702,2295,0xf63e1931c00087cddaf0dc11d48066410cca80827a40b01affd7534b536da62f
biconomy,630,2101,2731,0x6cfcdb2fa4882189e8da7d97c685df8a70d5d9261392c22bda32ed276b62c424
biconomy,614,2679,3293,0xe2540561ce972305ddc5a6ed4ce9159121f0f5c0732ae2a6d8d8aab28f52db79
biconomy,589,1053,1642,0xbb638ccf4a249d3c7cae7f930704f41177a72002dbf4bfbf51da8efdcb8b53e4
biconomy,647,1420,2067,0xd99578d11ee21054ec939a9fe1a7309bd63029305f38ad74055d06e0a98c93e1
biconomy,742,1687,2429,0x58a5b61641eea941bdd89442a46a594565768aef9cbb9279af7eb8c9c229a691
biconomy,586,2259,2845,0xc1b7bc83c205f76d9d079efb9b41913647c5cd2fe980d864bf16ce7dd8923dfa
biconomy,655,2634,3289,0x924e647a3c8ef83898b341499ee38b3f374c211b09d45fc4bb4476eabd081dde
alchemy,371,1203,1574,0x0a38839ea59b04af9895d5127e9132b80968b3c54b40016671342f13490c4620
alchemy,383,3396,3779,0xe97e66d8d35b72589c19be799f7cda19c00cf864e0df8f153d926760b48dee6d
alchemy,391,1568,1959,0xc133bf34bce3376f7797227d16a6e698d6bf913479d99c52d0d0d4fa99c5b6bd
alchemy,367,3727,4094,0xb2219fb823bc1cda41af35795c9b420df543de12b1363dd1a406b4cb133c3e0d
alchemy,340,3833,4173,0x1aa3474c111a826b11a6da2093a0440222f8cd3f365e0e36f23c5e1634d07322
alchemy,509,3531,4040,0xd080fd8589c3f326dd451456ce92e4debc63704e186e4b7dca9fed25bf71dfb9
alchemy,357,1840,2197,0x87d2739201387eba18573bbf452db613ee7f341aafc50dbffadf79fab81a37fb
alchemy,354,4346,4700,0x16b650aed51896643bdc6cc28af14bffd0af8ec173d9f1a0bb0a81e631b42afc
alchemy,481,4471,4952,0xdccc31d742913a350972e690011386a7bb238087407618e70512bfb0b1c1cab1
alchemy,405,4398,4803,0x0da9752cfb1503ecb7e2e27e34249006a3af07336bd2640a359804547320e1cb
alchemy,433,4030,4463,0x880cf9c85838b86bbe3439cd33c84256e63d0b28ada231b9a4b5e9bff58dc38a
alchemy,516,2056,2572,0xe8fdb1b11f455240256d0565d8948296cfdc3ea751f6503e21be545390095b06
alchemy,405,4287,4692,0x150b4a013f61ecf3aa8263cdf9b13a27726648387ee3265f1c860e522710a531
alchemy,445,1905,2350,0x0bca5d8a2310c53202208b32425f903385fabc42b03a6d9d876d7893b5e9fad0
alchemy,362,4108,4470,0xce1d440971fabaf0bd106756210281411791ed243e3d23efd79997cd52f9e4a9
alchemy,405,2278,2683,0x12eaf35d8cd9fda1980b4a5769c019eddbf07db0fd10da2192f747b420950734
alchemy,325,2608,2933,0x376563e9ec2a58e2240c430b0caac9b2655188b6a6a814481bc80803e5b64848
alchemy,408,2813,3221,0x02eda730b93ccc101c8f02434355e1a5fd3f0474097b1eb439bcca519f38d965
alchemy,408,3284,3692,0xa6268c043865a334123b80c54319c2353982f5ef3274e5688bcb9cac3a73341c
alchemy,351,3455,3806,0xf3a4e858f52ca54f35e59ef55076e2ee96b4d13d01b9ad04b17919fc94dfd614
alchemy,405,3420,3825,0x307622111656894a72634bd18ed6fce83cc9b1d451213b254232b8fc69843456
alchemy,285,1504,1789,0xe6f8e8ae009c069b84430efa1fa2754f70dca0ba6a48404977ba4863756c7780
alchemy,437,3955,4392,0x647388dd4e72ba24d95a5188a98513cf834fbad5fc0051b0851f6d85e186bac8
alchemy,406,1822,2228,0x68f65caf38650f729504a4f3460d6efe94922b3c758b8e37986932d39c36a710
alchemy,352,4086,4438,0x9f1a26b34ac55449f64209ea026c12cba0a6439efd9e0472066db56bf31bfc6a
alchemy,293,3801,4094,0xcd613326d336b7ca4fb8dbd5e41f60d89e62850977830594a54051bee75f5b6a
alchemy,517,1956,2473,0x788155be032b186f90ede65f48e3f25197fcdce85495e5c55bf0c372f0c2c406
alchemy,407,4282,4689,0x7a8834e7933b700609eb1145a6e3d9b2fb5e38a9978157d1ea723516331b486e
alchemy,507,2246,2753,0xd34139c35abddfe3c8056f79831bbdbf2172ad24ff2e48fae3ca8f2263a7e243
alchemy,477,4716,5193,0x5de5076cd9e64e19f628c63c4eacec64866c78b2dc0b2e34acdaa13080e2de7c
